Comments,ContentDatabase,ContentTypeName,ContentTypeORListID,CustomFieldId,CustomFieldInternalName,CustomFieldListTitle,CustomFieldScope,CustomFieldTitle,CustomFieldType,FeatureID,FeatureName,IsCustomFieldType,isFromFeature,ListCreatedDate,ListDeleteTransactionId,SiteCollection,SiteCollectionOwner,SolutionId,SolutionName,Source,WebApplication,WebUrl
Scope (site/subsite) value exists,portal_content_01,Aviva TV Page,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39004AE81CF920B14EF08586A40375293415,{536f760a-f408-4f42-abac-73e03cf467f1},Publish_x0020_In_x0020_Variation,N/A,sites/VK113055,Publish_x0020_In_x0020_Variation,Choice,D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/VK113055,N/A,N/A,aviva.oneintranet.solution.web.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Scope (site/subsite) value exists,portal_content_01,Aviva TV Page,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39004AE81CF920B14EF08586A40375293415,{e08932e5-91d0-4be6-b3cf-1bb8989975e1},Translation_x0020_Instructions,N/A,sites/VK113055,Translation_x0020_Instructions,Text,D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/VK113055,N/A,N/A,aviva.oneintranet.solution.web.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Scope (site/subsite) value exists,portal_content_01,Aviva TV Page,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39004AE81CF920B14EF08586A40375293415,{3b779a56-0876-4dce-a83b-af6b9cc09369},Editing_x0020_Correction,N/A,sites/VK113055,Editing_x0020_Correction,Boolean,D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/VK113055,N/A,N/A,aviva.oneintranet.solution.web.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Scope (site/subsite) value exists,portal_content_01,PlanetCT,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,{85f781f8-0ab3-433e-b828-dc0dd39ae695},Distance,N/A,sites/rajdev,Distance,Number,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER SiteColumns,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/rajdev,N/A,N/A,anubhavcontenttypeer.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/rajdev
Scope (site/subsite) value exists,portal_content_01,PlanetCT,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,{0e273391-2749-4c17-bcfd-009e2dc98f2f},OrbitalPeriod,N/A,sites/rajdev,OrbitalPeriod,Number,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER SiteColumns,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/rajdev,N/A,N/A,anubhavcontenttypeer.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/rajdev
Scope (site/subsite) value exists,portal_content_01,PlanetCT,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,{7a86784f-65b3-4b48-8eaf-c77ffed7bb61},MinimumTemperature,N/A,sites/rajdev,MinimumTemperature,Number,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER SiteColumns,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/rajdev,N/A,N/A,anubhavcontenttypeer.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/rajdev
Scope (site/subsite) value exists,portal_content_01,PlanetCT,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,{9677f5f2-4ca6-4d88-9de1-3518de4e2a01},MaximumTemperature,N/A,sites/rajdev,MaximumTemperature,Number,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER SiteColumns,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/rajdev,N/A,N/A,anubhavcontenttypeer.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/rajdev
Scope (site/subsite) value exists,portal_content_01,SunCT,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,{85f781f8-0ab3-433e-b828-dc0dd39ae695},Distance1,N/A,sites/div,Distance,Number,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER SiteColumns,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/div,N/A,2d0b2663-f560-4419-b777-26ff18803589,anubhavcontenttypeer.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/div
Scope (site/subsite) value exists,portal_content_01,SunCT,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,{0e273391-2749-4c17-bcfd-009e2dc98f2f},OrbitalPeriod1,N/A,sites/div,OrbitalPeriod,Number,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER SiteColumns,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/div,N/A,2d0b2663-f560-4419-b777-26ff18803589,anubhavcontenttypeer.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/div
Scope (site/subsite) value exists,portal_content_01,SunCT,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,{7a86784f-65b3-4b48-8eaf-c77ffed7bb61},MinimumTemperature1,N/A,sites/div,MinimumTemperature,Number,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER SiteColumns,FALSE,True,N/A,N/A,https://intranet.poc.com/sites/div,N/A,2d0b2663-f560-4419-b777-26ff18803589,anubhavcontenttypeer.wsp,Content Type FieldRef,https://intranet.poc.com/,https://intranet.poc.com/sites/div
