ContentDatabase,Feature_TimeActivated,Feature_Version,FeatureId,FeatureTitle,Scope,SiteCollection,SiteCollectionOwner,SiteID,SolutionId,SolutionName,WebApplication,WebID,WebUrl
N/A,N/A,0.0.0.0,1a3caacd-0de3-409e-8f97-f744384aa474,Shell.SharePoint.SAEF_CustomActions,Farm,N/A,N/A,N/A,47d03f9c-0a40-42f7-ae26-8d9c514bd8cc,shell.sharepoint.saef_v2.1.wsp,N/A,N/A,N/A
My_Content_01,10/23/2015 10:45:10 AM,0.0.0.0,d0ba6fff-18b8-4fcf-8813-ae448726f676,FilesInRootModule Feature1,Web,https://mysite.poc.com/,N/A,4c1b65da-5124-4729-94d4-d6e364f840c2,N/A,filesinrootmodule.wsp,https://mysite.poc.com/,b77206f3-5b9d-4c06-9d56-ae3e396aa388,https://mysite.poc.com/rashsubsiteone
My_Content_01,10/23/2015 10:46:15 AM,0.0.0.0,d0ba6fff-18b8-4fcf-8813-ae448726f676,FilesInRootModule Feature1,Web,https://mysite.poc.com/,N/A,4c1b65da-5124-4729-94d4-d6e364f840c2,N/A,filesinrootmodule.wsp,https://mysite.poc.com/,93e2695e-db8a-4f07-b133-e83faff2e965,https://mysite.poc.com/rashsubsiteone/rashsubsubsiteone
Portal_Content_01,10/9/2014 11:12:09 PM,0.0.0.0,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,Site,https://intranet.poc.com/sites/TestContosoTeamParent_2,N/A,1e49517f-e74c-4eff-a12a-005214974b28,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/10/2014 12:39:30 AM,0.0.0.0,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,Site,https://intranet.poc.com/sites/TestContosoTeamParent_2,N/A,1e49517f-e74c-4eff-a12a-005214974b28,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/9/2014 11:12:22 PM,0.0.0.0,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,Web,https://intranet.poc.com/sites/TestContosoTeamParent_2,N/A,1e49517f-e74c-4eff-a12a-005214974b28,N/A,contoso.intranet.wsp,https://intranet.poc.com/,9f0851a4-722d-4cd6-a95d-5288b2d56ada,https://intranet.poc.com/sites/TestContosoTeamParent_2
Portal_Content_01,5/14/2015 8:13:12 AM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/Test2,N/A,0c2d8a94-9712-45ff-87c1-058f9a940e9c,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/14/2015 8:13:12 AM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/Test2,N/A,0c2d8a94-9712-45ff-87c1-058f9a940e9c,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/14/2015 8:13:31 AM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/Test2,N/A,0c2d8a94-9712-45ff-87c1-058f9a940e9c,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,8a43ffc2-b043-4be1-a022-df2e3610a528,https://intranet.poc.com/sites/Test2
Portal_Content_01,10/2/2015 5:14:48 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/Anubhav_02Oct_3,N/A,03827c2f-305e-4be1-b909-05cfe3113ff8,N/A,customfield.wsp,https://intranet.poc.com/,77bd30eb-d978-4135-9cf6-cbfe80a635af,https://intranet.poc.com/sites/Anubhav_02Oct_3
Portal_Content_01,10/29/2014 6:34:49 PM,0.0.0.0,7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,Site,https://intranet.poc.com/sites/AnubhavPublishing,N/A,5ab5446c-5b05-482d-9bab-09498f451230,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/29/2014 6:34:56 PM,0.0.0.0,02464339-e494-4257-8018-403b5a4371d9,Contoso.Intranet - Web Default Publishing,Web,https://intranet.poc.com/sites/AnubhavPublishing,N/A,5ab5446c-5b05-482d-9bab-09498f451230,N/A,contoso.intranet.wsp,https://intranet.poc.com/,cbbe5ee9-b36f-4c7c-8d12-d730d9d53558,https://intranet.poc.com/sites/AnubhavPublishing
Portal_Content_01,9/3/2015 11:18:20 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/vidhiTest6,N/A,74fb1cb3-80e1-44bf-a0fe-0bec46a43869,N/A,customfield.wsp,https://intranet.poc.com/,3d4075ec-cb6a-482b-abef-e3f0a7cfa783,https://intranet.poc.com/sites/vidhiTest6
Portal_Content_01,10/23/2014 9:48:28 PM,0.0.0.0,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,Site,https://intranet.poc.com/sites/TestContentType5,N/A,8edca65e-6878-4791-9d98-14e3e7a8154e,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,9/16/2015 11:41:44 PM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/rajapp,N/A,3da3a31c-0180-4831-bde3-1646598b2077,N/A,customfield.wsp,https://intranet.poc.com/,d34de875-16d8-493b-9128-ed562a89c37e,https://intranet.poc.com/sites/rajapp
Portal_Content_01,5/5/2015 3:28:06 PM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/VK113055,N/A,91244468-c1ee-4f17-8e27-1a04d173af8d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/5/2015 3:28:06 PM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/VK113055,N/A,91244468-c1ee-4f17-8e27-1a04d173af8d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
