AssociatedContentTypes,ContentDatabase,DeleteTransactionId,Description,EnableVersioning,ItemCount,ListBaseType,ListCreatedDate,ListDefinitionInternalName,ListId,ListTemplateName,ListTitle,ServerTemplate,SiteCollection,SiteCollectionOwner,SolutionId,SolutionName,UniqueItemPermissionsEnabled,WebApplication,WebUrl
N/A,Portal_Content_01,0x,My List Instance,FALSE,0,Generic List,6/3/2016 11:23:02 AM,List1,c923c8f9-26a0-49e2-8249-09ac1d9c8477,List1,List1,10000,https://intranet.poc.com/sites/dd,N/A,N/A,sharepointproject2.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/dd
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D600DB0F0E3B5203104F8EA3C71C78C5919F,Portal_Content_01,0x,Contoso Library Instance,FALSE,1,Document Library,10/21/2014 4:31:46 PM,LTContosoLibrary,8da8b501-2538-4cc9-a48c-e67ccecfed7d,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/PocContosoTeamSite,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D60013C1D6F617EB3A4C942F4E6FEB465624,Portal_Content_01,0x,Contoso Library Instance,FALSE,0,Document Library,10/29/2014 6:34:57 PM,LTContosoLibrary,a3c57ffa-e181-4a32-bb14-fce0e48aa05e,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/AnubhavPublishing,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavPublishing
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D600175B6ECDA1206D4988B76D069CA4AC5B,Portal_Content_01,0x,Contoso Library Instance,FALSE,0,Document Library,5/5/2015 12:32:45 AM,LTContosoLibrary,55e27aed-7f66-4d88-8fac-9cc456c11078,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestingUnghostingTool,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/TestingUnghostingTool
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D600E6A6938B3DA0C9448E8427BBF82A4A16,Portal_Content_01,0x,Contoso Library Instance,FALSE,0,Document Library,4/2/2015 6:20:14 AM,LTContosoLibrary,575dc104-8dc5-4d30-b65a-22f717b8e72a,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/DemoContosoPublishing,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/DemoContosoPublishing
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D60042F283218AD59543909ABB5B272AA58B,Portal_Content_01,0x,Contoso Library Instance,FALSE,1,Document Library,3/20/2015 6:07:43 PM,LTContosoLibrary,9b047cd2-e47e-4284-a913-2116419d3a73,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/SudhaContosoPublishingSite,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaContosoPublishingSite
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D60041D0327CC94FD24F90B3A543F2208708,Portal_Content_01,0x,Contoso Library Instance,FALSE,0,Document Library,10/28/2014 11:49:50 PM,LTContosoLibrary,7632f2e6-7ca3-4070-af20-c6fb4146e23b,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/GhostableContosoPublishingSite,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/GhostableContosoPublishingSite
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D600E30E5CF557FF1543A40D1F5099ABFA95,Portal_Content_01,0x,Contoso Library Instance,FALSE,0,Document Library,3/10/2015 7:42:47 PM,LTContosoLibrary,9f29bdc2-6d91-4c74-87a9-d58537951be0,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestcontosopublishingsiteForTransformationUnghostTools,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/TestcontosopublishingsiteForTransformationUnghostTools
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D6007699C0CC7E8DA644AF9CFB64C29B60C2,Portal_Content_01,0x,Contoso Library Instance,TRUE,2,Document Library,10/18/2014 12:22:58 AM,LTContosoLibrary,aa63021e-a752-4f45-bf27-3cb8f76521ae,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestContosoPublishingSite,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoPublishingSite
ContosoLibraryContentType~0x010100C32DDAB6381C44868DCD5ADC4A5307D600BAA9E07C241B6D47BE61F386070E64F9,Portal_Content_01,0x,,TRUE,0,Document Library,9/3/2015 9:18:13 AM,LTContosoLibrary,1fb37a71-52aa-4037-af35-62cc8595b292,Contoso Library,TestingContoso,10003,https://intranet.poc.com/sites/ConstosoTemplate1,N/A,N/A,contoso.intranet.wsp,FALSE,https://intranet.poc.com/,https://intranet.poc.com/sites/ConstosoTemplate1
