FeatureID,FeatureName,Name,Type,ListTemplateId,ListURL,Assembly,Class,SolutionName
14502138-871b-4cd4-9e01-a40d84f465d9,"AnubhavContentTypeER AttachER",N/A,N/A,N/A,N/A,"AnubhavContentTypeER, Version=1.0.0.0, Culture=neutral, PublicKeyToken=170680aded2baa13",AnubhavContentTypeER.Features.Feature3.Feature3EventReceiver,anubhavcontenttypeer.wsp
A056D754-7EBA-43eb-BE93-FC58C6A5FAD3,"Best Bets Suggestions",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.BestBetsSuggestionsListFeatureReceiver,aviva.oneintranet.solution.web.wsp
E1046D23-9560-4e07-9179-41FE5FBA7899,"$Resources:FeatureName",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.BaseEventReceiver,aviva.oneintranet.solution.web.wsp
94119a41-a585-4cb8-bd5a-d17dd3dc5f5b,"$Resources:FeatureName",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.ThemeChanger,aviva.oneintranet.solution.web.wsp
851E5702-F162-43e9-B267-9E4F5316EC89,"$Resources:FeatureName",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.MetadataFeatureReceiver,aviva.oneintranet.solution.web.wsp
8DC48A9F-98CD-4b4c-BE2E-A48537D930E9,"$Resources:FeatureName",N/A,N/A,N/A,N/A,"Microsoft.Office.Server.Search, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.Server.Search.Administration.BasicSearchFeatureReceiver,aviva.oneintranet.solution.web.wsp
0C445DB9-00AF-4887-A036-F3FB8619EF74,"$Resources:FeatureName",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.WebPartDeployment,aviva.oneintranet.solution.web.wsp
{43CE2F03-317B-4216-8C98-99796322238A},"$Resources:FeatureName",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.EmployeePromiseConfigurationEventReciever,aviva.oneintranet.solution.web.wsp
AFAB4017-FAEA-493d-8501-01DE64E24340,"$Resources:FeatureName",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.InFocusContentListEventReceiver,aviva.oneintranet.solution.web.wsp
{C0FAF85F-2318-4899-A0F5-D0F950342F07},"Aviva Logging",N/A,N/A,N/A,N/A,"Aviva.OneIntranet.SharePoint.Features, Version=1.0.0.0, Culture=neutral, PublicKeyToken=9f4da00116c38ec5",Aviva.OneIntranet.SharePoint.Features.LoggingEventReceiver,aviva.oneintranet.solution.web.wsp
