Assembly,Class,ContentDatabase,EventName,EventReceiver_ListBaseTemplate,EventReceiver_ListTitle,EventReceiver_Type,EventReceiverId,HostId,HostType,ListCreatedDate,ListDeleteTransactionId,Orphan_NonOrphan,Scope,SiteCollection,SiteCollectionOwner,SolutionId,SolutionName,WebApplication,WebUrl
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.Internal.UpdateExpireDate,PPE_AppsManagementSite_content_01,Microsoft.Office.RecordsManagement.PolicyFeatures.ExpirationEventReceiver,101,Translation Packages,ItemUncheckedOut,d264685f-f3b6-4ef9-8472-061e947b94e6,410bf7fc-77e3-418c-ab9f-cd4d56fe15a2,2,10/9/2014 5:09:59 PM,0x,Non-Orphan,List,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite,N/A,N/A,createcustompolicies.wsp,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.Internal.UpdateExpireDate,PPE_AppsManagementSite_content_01,Microsoft.Office.RecordsManagement.PolicyFeatures.ExpirationEventReceiver,101,Translation Packages,ItemCheckedIn,fa603b36-aba5-49b7-ae8b-464a7f23e250,410bf7fc-77e3-418c-ab9f-cd4d56fe15a2,2,10/9/2014 5:09:59 PM,0x,Non-Orphan,List,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite,N/A,N/A,createcustompolicies.wsp,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.Internal.UpdateExpireDate,PPE_AppsManagementSite_content_01,Microsoft.Office.RecordsManagement.PolicyFeatures.ExpirationEventReceiver,101,Translation Packages,ItemAdded,a6b6d4be-613f-491c-8106-4b4d3660cabd,410bf7fc-77e3-418c-ab9f-cd4d56fe15a2,2,10/9/2014 5:09:59 PM,0x,Non-Orphan,List,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite,N/A,N/A,createcustompolicies.wsp,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.Internal.UpdateExpireDate,PPE_AppsManagementSite_content_01,Microsoft.Office.RecordsManagement.PolicyFeatures.ExpirationEventReceiver,101,Translation Packages,ItemFileMoved,5beb2a51-3d82-477d-8c77-e6656adc7085,410bf7fc-77e3-418c-ab9f-cd4d56fe15a2,2,10/9/2014 5:09:59 PM,0x,Non-Orphan,List,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite,N/A,N/A,createcustompolicies.wsp,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.Internal.UpdateExpireDate,PPE_AppsManagementSite_content_01,Microsoft.Office.RecordsManagement.PolicyFeatures.ExpirationEventReceiver,101,Translation Packages,ItemUpdated,0114c2ee-6ef8-44c1-b14b-edab901ad825,410bf7fc-77e3-418c-ab9f-cd4d56fe15a2,2,10/9/2014 5:09:59 PM,0x,Non-Orphan,List,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite,N/A,N/A,createcustompolicies.wsp,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.InformationPolicy.ProjectRetentionWebEventReceiver,PPE_AppsManagementSite_content_01,ProjectRetentionWebEventReceiver,N/A,N/A,WebDeleted,57573348-a1a1-4659-b952-b6872ab277e9,c8d806e3-127a-4ba6-8428-9c1bc579413f,0,N/A,N/A,Non-Orphan,Site Collection,http://001d-cam-tap01:8899/WhiteListedSandBoxSolutions,N/A,N/A,N/A,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/WhiteListedSandBoxSolutions
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.InformationPolicy.ProjectRetentionWebEventReceiver,PPE_AppsManagementSite_content_01,ProjectRetentionWebEventReceiver,N/A,N/A,WebDeleted,c768a1a1-6740-45a4-9e1e-ce6985c270a9,e2cfc919-3f29-4244-8a82-a9a6abab4d78,0,N/A,N/A,Non-Orphan,Site Collection,http://001d-cam-tap01:8899/sites/MySampleApp,N/A,N/A,N/A,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/MySampleApp
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.InformationPolicy.ProjectRetentionWebEventReceiver,PPE_AppsManagementSite_content_01,ProjectRetentionWebEventReceiver,N/A,N/A,WebDeleted,7d69c18b-7d0a-4780-9ceb-e369da94aa4b,456f3177-d550-4b5f-829b-497ef437a04e,0,N/A,N/A,Non-Orphan,Site Collection,http://001d-cam-tap01:8899/,N/A,N/A,N/A,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.InformationPolicy.ProjectRetentionWebEventReceiver,PPE_AppsManagementSite_content_01,ProjectRetentionWebEventReceiver,N/A,N/A,WebDeleted,10f12c49-87f0-45c5-9df0-e7d821d17358,9c94e8b7-3458-4b7d-bd05-2fd263866c09,0,N/A,N/A,Non-Orphan,Site Collection,http://001d-cam-tap01:8899/sites/DeletSiteTest,N/A,N/A,N/A,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/DeletSiteTest
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.InformationPolicy.ProjectRetentionWebEventReceiver,PPE_AppsManagementSite_content_01,ProjectRetentionWebEventReceiver,N/A,N/A,WebDeleted,fd2868c5-f7be-4895-9c19-f1a9f36a82cc,a47c4e61-3e2e-4e9b-93f4-50d04ca82b75,0,N/A,N/A,Non-Orphan,Site Collection,http://001d-cam-tap01:8899/sites/CTERSandbox,N/A,N/A,N/A,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/CTERSandbox
"Microsoft.Office.Policy, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.Office.RecordsManagement.InformationPolicy.ProjectRetentionWebEventReceiver,PPE_AppsManagementSite_content_01,ProjectRetentionWebEventReceiver,N/A,N/A,WebDeleted,aa33c94b-2012-4c32-9490-f91db1446de7,e1d9f01b-88cf-4ea7-80b2-0670ba0777f6,0,N/A,N/A,Non-Orphan,Site Collection,http://001d-cam-tap01:8899/sites/DeleteSiteCheck,N/A,N/A,N/A,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/DeleteSiteCheck
"Microsoft.SharePoint.WorkflowServices, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c",Microsoft.SharePoint.WorkflowServices.ContentWebChangeEventReceiver,PPE_AppsManagementSite_content_01,,N/A,N/A,WebMoved,c857d717-94fe-4fb6-a0aa-230c50813b6a,2746f226-d908-4bec-8a5e-d9be53630bf4,1,N/A,N/A,Non-Orphan,Site,http://001d-cam-tap01:8899/sites/MySampleApp,N/A,N/A,N/A,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/MySampleApp
