ContentDatabase,ContentTypeDeleteTransactionId,ContentTypeId,ContentTypeName,ContentTypeScope,CTFeatureIDFromDefinition,isFromFeature,ResourceDir,SiteCollection,SolutionId,SolutionName,Source,WebApplication,WebUrl
Portal_Content_01,0x,0x0100E321C5DA35E5449F9A298CE0D8D600FC,CT1,https://intranet.poc.com/sites/DiscoveryTool,N/A,True,CT1,https://intranet.poc.com/sites/DiscoveryTool,N/A,erct.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,0x0120D520002228EBDE71841343B23171CE351F7D39,Test Doc Set,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,True,Test Doc Set,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,docsetprovisioning.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite
Portal_Content_01,0x,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,PlanetCT,https://intranet.poc.com/sites/TestTeamSiteParent2,N/A,True,PlanetCT,https://intranet.poc.com/sites/TestTeamSiteParent2,N/A,planetctwither.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/TestTeamSiteParent2
Portal_Content_01,0x,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,PlanetCT,https://intranet.poc.com/sites/DiscoveryTool,N/A,True,SunCT,https://intranet.poc.com/sites/DiscoveryTool,N/A,planetctwither.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,PlanetCT,https://intranet.poc.com/sites/vidhiTest10,N/A,True,SunCT,https://intranet.poc.com/sites/vidhiTest10,N/A,planetctwither.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/vidhiTest10
Portal_Content_02,0x,0x0100E321C5DA35E5449F9A298CE0D8D600FC,CT1,https://intranet.poc.com/sites/AnubhavCTER_1,N/A,True,CT1,https://intranet.poc.com/sites/AnubhavCTER_1,N/A,erct.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavCTER_1
Portal_Content_02,0x,0x0100E321C5DA35E5449F9A298CE0D8D600FC,CT1,https://intranet.poc.com/sites/AnubhavCTER_2,N/A,True,CT1,https://intranet.poc.com/sites/AnubhavCTER_2,N/A,erct.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavCTER_2
Portal_Content_02,0x,0x0120D520002228EBDE71841343B23171CE351F7D39,Test Doc Set,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2,N/A,True,Test Doc Set,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2,N/A,docsetprovisioning.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2
Portal_Content_02,0x,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,PlanetCT,https://intranet.poc.com/sites/CTERTesting,N/A,True,CTWithER,https://intranet.poc.com/sites/CTERTesting,N/A,planetctwither.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/CTERTesting
Portal_Content_02,0x,0x0100E73BF04F1EDB4E8CB0C67DB3BA51BFC2,PlanetCT,https://intranet.poc.com/sites/AnubhavCTER_1,N/A,True,PlanetCT,https://intranet.poc.com/sites/AnubhavCTER_1,N/A,planetctwither.wsp,Source-CTFixDefinition,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavCTER_1
