ContentDatabase,ContentTypeDeleteTransactionId,ContentTypeId,ContentTypeName,ContentTypeScope,CTFeatureIDFromDefinition,isFromFeature,ResourceDir,SiteCollection,SolutionId,SolutionName,Source,WebApplication,WebUrl
Portal_Content_01,0x,0x01004CFFB3E3E2524A529F068196C8326964,EventReceiverEnabledContentType,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,True,EventReceiverEnabledContentType,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,anubhavcontenttypeer.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTeamSiteTest
Portal_Content_01,0x,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39004AE81CF920B14EF08586A40375293415,"$Resources:_FeatureId4ebf6325-abe7-4097-847e-fc3263f8edc1,contenttype_name;",https://intranet.poc.com/sites/testv,N/A,True,Aviva TV Page,https://intranet.poc.com/sites/testv,N/A,aviva.oneintranet.solution.web.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,0x,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39004AE81CF920B14EF08586A40375293415,"$Resources:_FeatureId4ebf6325-abe7-4097-847e-fc3263f8edc1,contenttype_name;",https://intranet.poc.com/sites/TMaster2publishing,N/A,True,Aviva TV Page,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,0x,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39004AE81CF920B14EF08586A40375293415,"$Resources:_FeatureId4ebf6325-abe7-4097-847e-fc3263f8edc1,contenttype_name;",https://intranet.poc.com/sites/VK113055,N/A,True,Aviva TV Page,https://intranet.poc.com/sites/VK113055,N/A,aviva.oneintranet.solution.web.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Portal_Content_01,0x,0x0100253FB81B191B4A1EBBB5A2CD1F394AAB,TestContentType,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,True,TestContentType,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,contoso.contenttype.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTeamSiteTest
Portal_Content_01,0x,0x0100253FB81B191B4A1EBBB5A2CD1F394AAB,TestContentType,https://intranet.poc.com/sites/DiscoveryTool,N/A,True,TestContentType,https://intranet.poc.com/sites/DiscoveryTool,N/A,contoso.contenttype.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,0x0100253FB81B191B4A1EBBB5A2CD1F394AAB,TestContentType,https://intranet.poc.com/sites/TestContentType5,N/A,True,TestContentType,https://intranet.poc.com/sites/TestContentType5,N/A,contoso.contenttype.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContentType5
Portal_Content_01,0x,0x0100253FB81B191B4A1EBBB5A2CD1F394AAB,TestContentType,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,True,TestContentType,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,contoso.contenttype.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite
Portal_Content_01,0x,0x0100253FB81B191B4A1EBBB5A2CD1F394AAB,TestContentType,https://intranet.poc.com/sites/TestListContentType4,N/A,True,TestContentType,https://intranet.poc.com/sites/TestListContentType4,N/A,contoso.contenttype.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/TestListContentType4
Portal_Content_01,0x,0x01003A8A3BA2226E44C79C6F074E06C446E7,PersonalInfo,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,True,PersonalInfo,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,contoso.contenttype.wsp,Source-CustomContentType,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTeamSiteTest
