Assembly,Class,ContentDatabase,EventName,EventReceiver_ListTitle,EventReceiver_Type,EventReceiverId,HostId,HostType,ListCreatedDate,ListDeleteTransactionId,Orphan_NonOrphan,Scope,SiteCollection,SolutionName,Source,UpgradeStatus,WebApplication,WebUrl
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Content type publishing error log,ItemAdding,fa234782-a16b-4fe1-81f2-37c08421b583,ffa1a9c7-51d2-41f3-b97b-80f42513d72a,2,10/21/2014 4:30:49 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/PocContosoTeamSite,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Content and Structure Reports,ItemAdding,4883c240-65cf-4b87-a696-435959656b5a,5b0cabc2-2897-4bec-90f7-5805fa0927d5,2,10/20/2014 9:22:59 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/testPublishing,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Quick Deploy Items,ItemAdding,042a323d-35ea-4614-81ce-5c1b22095ab1,085a9f45-c0e1-4729-b849-9b7364e49889,2,10/20/2014 9:22:56 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/testPublishing,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Notification List,ItemAdding,34037443-ad19-4afb-8fa3-613f7d2de7f6,1520e59e-ba6f-4468-9dc9-dc72d2a408f8,2,10/20/2014 9:22:58 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/testPublishing,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Device Channels,ItemAdding,70f9e0e7-648f-467f-a142-79a216ebd0c2,111bd37b-9505-4803-9289-3888dbb42a44,2,10/20/2014 9:23:27 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/testPublishing,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Long Running Operation Status,ItemAdding,659fd12d-f9c7-4cc4-b23d-86bb1ca687dc,965e833f-0d62-413a-8c89-efe9326d1226,2,10/20/2014 9:22:58 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/testPublishing,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Variation Labels,ItemAdding,77853980-764b-40db-ac99-8c2825f6da2d,91e6354f-0b63-481c-b4b6-ba23043227d9,2,10/20/2014 9:23:00 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/testPublishing,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Content type publishing error log,ItemAdding,47cf08ec-c0b3-4bea-ae53-a2bc9716e059,c8e40b18-b7c7-4563-9d49-8f8d64b25640,2,10/20/2014 9:23:05 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/testPublishing,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testPublishing
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Suggested Content Browser Locations,ItemAdding,ad81b662-bad5-4458-bfd3-ae310bdf6846,81fd8c05-8492-4049-9510-60ea6f5bca73,2,10/21/2014 4:30:39 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/PocContosoTeamSite,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
"Contoso.ContentType, Version=1.0.0.0, Culture=neutral, PublicKeyToken=598e28cfa04cf2c4",Contoso.ContentType.TestEventRecveiver1.TestEventRecveiver1,Portal_Content_01,TestEventRecveiver1ItemAdding,Translation Status,ItemAdding,fee6ac0d-ccec-47a8-a139-c255ce0f27b0,732b7115-d373-4d7f-9eeb-200f848994ab,2,10/21/2014 4:31:33 PM,0x,Non-Orphan,List,https://intranet.poc.com/sites/PocContosoTeamSite,contoso.contenttype.wsp,EventReceivers.csv,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
