Comments,ContentDatabase,ContentTypeORListID,CustomFieldId,CustomFieldInternalName,CustomFieldListTitle,CustomFieldScope,CustomFieldTitle,CustomFieldType,DeleteTransactionId,FeatureID,FeatureName,isFromFeature,ListCreatedDate,SiteCollection,SolutionID,SolutionName,Source,WebApplication,WebUrl
ContentTypes Table,Portal_Content_01,0x19F3A41470325D4DA644E5EFBB9AA4E7,14a4f319-3270-4d5d-a644-e5efbb9aa4e7,Anubhav_2,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3,anubhav_2,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/Anubhav_02Oct_3
ContentTypes Table,Portal_Content_01,0x25C9AC0DEC451146A52C166EB06A626A,0dacc925-45ec-4611-a52c-166eb06a626a,FieldType_Subsite_11,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3/Test_1,fieldtype_subsite_1,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/Anubhav_02Oct_3/Test_1
ContentTypes Table,Portal_Content_01,0x28BA6061B76BB742AE69EEBCCF222F5B,6160ba28-6bb7-42b7-ae69-eebccf222f5b,OOTB_SiteColumnNoUsage,N/A,https://intranet.poc.com/sites/SampleAppCSOM,ootb_sitecolumnnousage,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/SampleAppCSOM,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/SampleAppCSOM
ContentTypes Table,Portal_Content_01,0x2E25A26B93A5AE4B979CC759595CE389,6ba2252e-a593-4bae-979c-c759595ce389,OOTB_EMAIL_SC2,N/A,https://intranet.poc.com/sites/AnubhavTest1,ootb_email_sc2,Email,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTest1,N/A,customfieldtype_email.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTest1
ContentTypes Table,Portal_Content_01,0x2FFA0AF45B0DCD4E9866FEE22EC7687E,f40afa2f-0d5b-4ecd-9866-fee22ec7687e,Test_x0020_Field,N/A,https://intranet.poc.com/sites/AnubhavTeamSiteTest,test field,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTeamSiteTest
ContentTypes Table,Portal_Content_01,0x4BC73006EA874B40B569789279B78A01,0630c74b-87ea-404b-b569-789279b78a01,FieldType_Subsite_1,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3/Test_1,fieldtype_subsite_1,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/Anubhav_02Oct_3/Test_1
ContentTypes Table,Portal_Content_01,0x6788A3912BE16448B958FE345BB905AE,91a38867-e12b-4864-b958-fe345bb905ae,OOTB_SiteColumn1,N/A,https://intranet.poc.com/sites/SampleAppCSOM,ootb_sitecolumn1,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/SampleAppCSOM,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/SampleAppCSOM
ContentTypes Table,Portal_Content_01,0x6A9255072000ED44A9ACE0316449801E,0755926a-0020-44ed-a9ac-e0316449801e,emai_test1,N/A,https://intranet.poc.com/sites/AnubhavTeamSiteTest,emai_test1,Email,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,customfieldtype_email.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTeamSiteTest
ContentTypes Table,Portal_Content_01,0x7AA4FF56BCD623429B1E989FB5355E75,56ffa47a-d6bc-4223-9b1e-989fb5355e75,OOTB_SC7,N/A,https://intranet.poc.com/sites/AnubhavTest1/Subsite1,ootb_sc7,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTest1,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTest1/Subsite1
ContentTypes Table,Portal_Content_01,0x807C5AFCBE82244ABA27ED33976A2C2C,fc5a7c80-82be-4a24-ba27-ed33976a2c2c,OOTB_SC2,N/A,https://intranet.poc.com/sites/AnubhavTest1,ootb_sc2,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTest1,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTest1
ContentTypes Table,Portal_Content_01,0x887606A3ADF03A4F8F5BB80583769989,a3067688-f0ad-4f3a-8f5b-b80583769989,OOTB_SiteCol1,N/A,https://intranet.poc.com/sites/RajTeam4,ootb_sitecol1,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/RajTeam4,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/RajTeam4
ContentTypes Table,Portal_Content_01,0x959CD0E6ADAFC845BC60C2661D3C9DB3,e6d09c95-afad-45c8-bc60-c2661d3c9db3,FieldType_1,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3,fieldtype_1,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/Anubhav_02Oct_3,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/Anubhav_02Oct_3
ContentTypes Table,Portal_Content_01,0x9C93B8E4E3C7684C8388ED54F2B0641E,e4b8939c-c7e3-4c68-8388-ed54f2b0641e,OOTB_SC6,N/A,https://intranet.poc.com/sites/AnubhavTest1/Subsite1,ootb_sc6,field2,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTest1,N/A,customnewfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTest1/Subsite1
ContentTypes Table,Portal_Content_01,0xB315FCC8EB45DC49B37585AC1C941D89,c8fc15b3-45eb-49dc-b375-85ac1c941d89,OOTB_Email_SC1,N/A,https://intranet.poc.com/sites/AnubhavTeamSiteTest,ootb_email_sc1,Email,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTeamSiteTest,N/A,customfieldtype_email.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTeamSiteTest
ContentTypes Table,Portal_Content_01,0xC1D9B9D761111F4D86BBA5A4A49C7615,d7b9d9c1-1161-4d1f-86bb-a5a4a49c7615,OOTB_SiteColumn1,N/A,https://intranet.poc.com/sites/testSite2,ootb_sitecolumn1,FavoriteColorField,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/testSite2,N/A,customfield.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/testSite2
ContentTypes Table,Portal_Content_01,0xC75DFF15A6677E4E9EC293BE64465113,15ff5dc7-67a6-4e7e-9ec2-93be64465113,OOTB_EMAIL_SC1,N/A,https://intranet.poc.com/sites/AnubhavTest1,ootb_email_sc1,Email,0x,N/A,N/A,False,N/A,https://intranet.poc.com/sites/AnubhavTest1,N/A,customfieldtype_email.wsp,Site Column Field,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavTest1
