ContentDatabase,FeatureId,FeatureTitle,Scope,SiteCollection,SolutionName,Source,UpgradeStatus,WebApplication,WebUrl
PPE_AppsManagementSite_content_01,7435ae5c-91b5-4f0e-8c96-de5e77207e9c,Contoso.ContentType Test Blank,WebApplication,N/A,contoso.contenttype.wsp,Features.csv,N/A,http://001d-cam-tap01:8899/,N/A
PPE_AppsManagementSite_content_01,96967f04-bb8f-45b9-8bb0-62d079022346,GPUserAddedWPScope_GPUserAddedWPScope,WebApplication,N/A,gpuseraddedwpscope.wsp,Features.csv,N/A,http://001d-cam-tap01:8899/,N/A
WSS_Content_8160bd384e4949999db4c543b247d74c,7435ae5c-91b5-4f0e-8c96-de5e77207e9c,Contoso.ContentType Test Blank,WebApplication,N/A,contoso.contenttype.wsp,Features.csv,N/A,https://dummy.poc.com/,N/A
WSS_Content_8160bd384e4949999db4c543b247d74c,96967f04-bb8f-45b9-8bb0-62d079022346,GPUserAddedWPScope_GPUserAddedWPScope,WebApplication,N/A,gpuseraddedwpscope.wsp,Features.csv,N/A,https://dummy.poc.com/,N/A
Portal_Content_01,a2428e6d-8fbc-428d-8abb-6332cc5c4d3c,AnubhavContentTypeER Feature1,Site,https://intranet.poc.com/sites/AnubhavTeamSiteTest,anubhavcontenttypeer.wsp,Features.csv,False,https://intranet.poc.com/,N/A
Portal_Content_01,f0f9a242-5c29-4750-8f7a-c11d00635c33,Anubhav_SiteColumns Feature1,Site,https://intranet.poc.com/sites/Anubhav_4Feb_2016_1,anubhav_sitecolumns.wsp,Features.csv,False,https://intranet.poc.com/,N/A
Portal_Content_01,f0f9a242-5c29-4750-8f7a-c11d00635c33,Anubhav_SiteColumns Feature1,Site,https://intranet.poc.com/sites/Anubhav_4Feb_2016_2,anubhav_sitecolumns.wsp,Features.csv,False,https://intranet.poc.com/,N/A
Portal_Content_01,d06ecf20-81b5-4964-a182-f2b2dcd14573,Publishing Site Configuration,Web,https://intranet.poc.com/sites/TMaster2publishing,contoso.oneintranet.solution.web.wsp,Features.csv,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,49852445-63d9-4b9b-9652-708445f80ed5,contoso Remote Content Query Web Part,Site,https://intranet.poc.com/sites/TestContosoPublishingSite,contoso.oneintranet.solution.web.wsp,Features.csv,False,https://intranet.poc.com/,N/A
Portal_Content_01,ebd86520-ddcb-45cf-bd73-dc8c5b7be022,contoso Search Site Configuration,Web,https://intranet.poc.com/sites/TestSearch,contoso.oneintranet.solution.web.wsp,Features.csv,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestSearch
