ContentDatabase,DirName,Extension,ExtensionForFile,Id,LeafName,ListId,SetupPath,SiteCollection,WebApplication,WebUrl,WFSVC_ListFile
PPE_AppsManagementSite_content_01,sites/DeleteSiteCheck/Style Library/Media Player,xaml,xaml,08b86dbb-f489-4e13-ab21-5d2b6b0377eb,AlternateMediaPlayer.xaml,2d8f8897-86df-4df7-b66b-2a53e5f724a3,Features\MediaWebPart\AlternateMediaPlayer.xaml,http://001d-cam-tap01:8899/sites/DeleteSiteCheck,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/DeleteSiteCheck,No
PPE_AppsManagementSite_content_01,Style Library/Media Player,xaml,xaml,4bdd576b-9739-4278-94e0-a0a3fd6c215f,AlternateMediaPlayer.xaml,e7c0339c-dce7-42a0-ae9c-2b11475ec82c,Features\MediaWebPart\AlternateMediaPlayer.xaml,http://001d-cam-tap01:8899/monitor.ppeapps-poc.com,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/monitor.ppeapps-poc.com,No
PPE_AppsManagementSite_content_01,WhiteListedSandBoxSolutions/Style Library/Media Player,xaml,xaml,10c5967a-6560-4b4b-8e5c-b089878c212a,AlternateMediaPlayer.xaml,0fa73600-4d7b-4897-b828-896397081ee5,Features\MediaWebPart\AlternateMediaPlayer.xaml,http://001d-cam-tap01:8899/WhiteListedSandBoxSolutions,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/WhiteListedSandBoxSolutions,No
Portal_Content_01,sites/AnubhavPublishing/Style Library/Media Player,xaml,xaml,03019f5a-5962-4d5f-bdf6-160fa7c2a0e3,AlternateMediaPlayer.xaml,a166e6bf-8c3f-45f2-b5dd-c15854cc900b,Features\MediaWebPart\AlternateMediaPlayer.xaml,https://intranet.poc.com/sites/AnubhavPublishing,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavPublishing,No
Portal_Content_01,sites/RajIP/Style Library/Media Player,xaml,xaml,3a9777f2-68da-41be-86f2-189462852769,AlternateMediaPlayer.xaml,0393e002-ce5d-488b-9fd6-fa3ab99303c6,Features\MediaWebPart\AlternateMediaPlayer.xaml,https://intranet.poc.com/sites/RajIP,https://intranet.poc.com/,https://intranet.poc.com/sites/RajIP,No
Portal_Content_01,sites/TestSampleApp/Style Library/Media Player,xaml,xaml,0bb9429d-de86-4634-81e6-19b9a0e6fd5d,AlternateMediaPlayer.xaml,8419b2ba-5494-43ab-99fb-45ebbda9b968,Features\MediaWebPart\AlternateMediaPlayer.xaml,https://intranet.poc.com/sites/TestSampleApp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestSampleApp,No
Portal_Content_01,sites/SampleAppMVC/Style Library/Media Player,xaml,xaml,51731b93-1b2a-4fc1-90b4-1ccadde09600,AlternateMediaPlayer.xaml,18287026-89f5-4453-942e-0c0b2186d062,Features\MediaWebPart\AlternateMediaPlayer.xaml,https://intranet.poc.com/sites/SampleAppMVC,https://intranet.poc.com/,https://intranet.poc.com/sites/SampleAppMVC,No
Portal_Content_01,sites/re/Style Library/Media Player,xaml,xaml,7cea3c4a-0a02-41e2-92d2-1ff3addc26f2,AlternateMediaPlayer.xaml,0e3e7a1d-d962-415c-8a89-464f1b25dd25,Features\MediaWebPart\AlternateMediaPlayer.xaml,https://intranet.poc.com/sites/re,https://intranet.poc.com/,https://intranet.poc.com/sites/re,No
Portal_Content_01,sites/testSite2/Style Library/Media Player,xaml,xaml,ff423bd1-2a09-4ccf-b328-25faebe1133f,AlternateMediaPlayer.xaml,1e7ca996-ff40-4b60-a0f9-55e156e934cd,Features\MediaWebPart\AlternateMediaPlayer.xaml,https://intranet.poc.com/sites/testSite2,https://intranet.poc.com/,https://intranet.poc.com/sites/testSite2,No
Portal_Content_01,sites/SampleApp3/Style Library/Media Player,xaml,xaml,954546b6-ccec-4fb7-ab8a-284d96abeab2,AlternateMediaPlayer.xaml,46ee0c59-c505-4de1-9232-0d6b6d3692c0,Features\MediaWebPart\AlternateMediaPlayer.xaml,https://intranet.poc.com/sites/SampleApp3,https://intranet.poc.com/,https://intranet.poc.com/sites/SampleApp3,No
